code;name;status;quantity;price;location
1200000038;SIPKA SA NAVOJEM M-8,00 MM L=100 CM;NOVO AKT;49;2604.1;
1200000039;ŠIPKA SA NAVOJEM M-10,00 MM L=100 CM;NOVO AKT;57;4281.5;
1200000040;ŠIPKA SA NAVOJEM M-12,00 MM L=100 CM;NOVO AKT;25;2424.8;
1200000041;ŠIPKA SA NAVOJEM M-14.00 MM L=100 CM;NOVO AKT;11;1234.15;
1200000042;ŠIPKA SA NAVOJEM M-16,00 MM L=100 CM;NOVO AKT;18;3645.32;
1200000049;ČELIK OKRUGLI VALJANIČ.0300 V 28 MM;NOVO AKT;376;1355.48;
1200000051;ČELIK OKRUGLI VALJANIČ.0300 V 35 MM;NOVO AKT;51;72.42;
1200000059;ČELIK OKRUGLI VALJANIČ.0345 V 18 MM;NOVO AKT;213;3845.71;
1200000062;ČELIK OKRUGLI VALJANIČ.0345 V 32 MM;NOVO AKT;26.5;592.12;
1200000064;ČELIK OKRUGLI VALJANIČ.0345 V 45 MM;NOVO AKT;142;2391.28;
1200000065;ČELIK OKRUGLI VALJANIČ.0345 V 60 MM;NOVO AKT;133;5439.03;
1200000075;ČELIK OKRUGLI VALJ.Č.1220/1221 FI 30 MM;NOVO AKT;48.5;1460.09;
1200000081;ČELIK OKRUGLI VALJ.Č.1220/1221 FI 55 MM;NOVO AKT;335;10052.01;
1200000090;ČELIK VALJANI OKRUGLI Č.4732 20 MM;NOVO AKT;400;11124.4;
1200000091;ČELIK VALJANI OKRUGLI Č.4732 22 MM;NOVO AKT;143;2749.89;
1200000096;ČELIK VALJANI OKRUGLI Č.4732 80 MM;NOVO AKT;710;16670.8;
1200000116;ČELIK OKRUGLI Č.1731 FI 55 MM;NOVO AKT;335;7854.07;
1200000207;ČELIK UGAONI RAVNOK. Č.0345V 70X70X7 MM;NOVO AKT;118.5;4524.33;
1200000208;ČELIK UGAONI RAVN. Č.0345V 100X100X12 MM;NOVO NEAKT;300;30;
1200000251;LIM ČELIČNI CRNI Č.0146 2 MM;NOVO AKT;100;8676.47;
1200000252;LIM ČELIČNI CRNI Č.0146 3 MM;NOVO AKT;240;21696;
1200000256;LIM ČELIČNI CRNI Č.0345 3 MM;NOVO AKT;381;40611.43;
1200000330;ELEKTRODA PIVA 130 RR 3,25 MM;NOVO AKT;20;5850;
1200000354;ELEKTRODA C02 0,8MM;NOVO AKT;15;2221.44;
1200000355;ELEKTRODA CO2 1,2MM;NOVO AKT;14.64;2334.88;
1200000467;MUF POCINKOVAN 1/2 COLA;NOVO AKT;2;52.42;
1200000495;REDUKCIJA PRAVA-POCINKOVANA 1X3/4 COL;NOVO AKT;3;82.27;
1200000496;REDUKCIJA PRAVA-POCINKOVANA 5/4X1/2 COL;NOVO AKT;43;1200.56;
1200000525;RASCEPKA 3,0X40 MM;NOVO AKT;671;4468.86;
1200000534;RASCEPKA 4,0X40 MM;NOVO AKT;424;1470.2;
1200000543;RASCEPKA 5,0X40 MM;NOVO AKT;581.8;806;
1200000545;RASCEPKA 5,0X63 MM;NOVO AKT;63;279.75;
1200000546;RASCEPKA 5,0X50 MM;NOVO AKT;500;1907.92;
1200000547;RASCEPKA 5,0X80 MM;NOVO AKT;63;524.27;
1200000572;RASCEPKA 10X120 MM;NOVO AKT;150;5491.81;
1200000583;PODLOŠKA BOLCNA 43X25X4;NOVO AKT;40;9206.8;
1200000584;PODLOŠKA BOLCNA 20X9X2;NOVO AKT;37;8407.14;
1200000585;SVORNJAK-BOLCN 10X30;NOVO AKT;20;7055.3;
1200000588;SVORNJAK-BOLCN 29X105 MM;NOVO AKT;19;6273.61;
1200000589;SVORNJAK - BOLCN 35X115;NOVO AKT;18;5630.31;
1200000640;STEZALJKE ZA CREVA OD 90 MM;NOVO AKT;175;4075.4;
1200000641;STEZALJKE ZA CREVA OD 100 MM;NOVO AKT;196;6295.52;
1200000647;STEZALJKE ZA CREVO FI 8-12;NOVO AKT;273;3885.89;
1200000649;STEZALJKE ZA CREVA FI 12-20;NOVO AKT;330;4809.92;
1200000650;STEZALJKE ZA CREVA FI 16-27;NOVO AKT;322;6104.81;
1200000652;STEZALJKE ZA CREVA FI 18-32 MM-PUŽASTE;NOVO AKT;206;3881.47;
1200000653;STEZALJKE ZA CREVA FI 20-32;NOVO AKT;374;7257.46;
1200000654;STEZALJKE ZA CREVA FI 25-40;NOVO AKT;252;4937.44;
1200000655;STEZALJKE ZA CREVA FI 32-50;NOVO AKT;148;3263.4;
1200000657;STEZALJKE ZA CREVA FI 50-60;NOVO AKT;215;9529.87;
1200000658;STEZALJKE ZA CREVA 90-110;NOVO AKT;186;6897.66;
1200000659;STEZALJKE ZA CREVA 110-150;NOVO AKT;241;11135.65;
1200000662;ZAKIVCI SA POLUOKRUGLOM GLAVOM 16X60 MM;NOVO AKT;101;103.48;
1200000668;ZAKIVCI SA POLUOKRUGLOM GLAVOM 22X60 MM;NOVO AKT;58;3.19;
1200000683;ZAKIVCI ZA LIM-POP NITNE 4,8X25 MM;NOVO AKT;500;390;
1200000688;ZAKOVICA ZA BLOK 4,0X10 MM;NOVO AKT;1000;260;
1200000698;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 5X50 MM;NOVO AKT;86;222.91;
1200000701;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 5X25 MM;NOVO AKT;61;141.03;
1200000706;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X16 MM;NOVO AKT;480;483.84;
1200000708;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X20 MM;NOVO AKT;108;137.05;
1200000710;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X30 MM;NOVO AKT;98;215.21;
1200000712;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X35 MM;NOVO AKT;769;313.75;
1200000713;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X40 MM;NOVO AKT;82;188.93;
1200000716;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X60 MM;NOVO AKT;585;1948.05;
1200000717;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 6X70 MM;NOVO AKT;200;1155.6;
1200000726;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 8X50 MM;NOVO AKT;284;1452.72;
1200000727;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 8X60 MM;NOVO AKT;336;1412.2;
1200000733;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 8X10 MM;NOVO AKT;25;44.88;
1200000742;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 10X40MM;NOVO AKT;64;557.64;
1200000755;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 12X30MM;NOVO AKT;300;2855.99;
1200000757;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 12X40MM;NOVO AKT;4;48.36;
1200000761;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 12X60MM;NOVO AKT;132;1450.34;
1200000772;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 14X30MM;NOVO AKT;150;637.2;
1200000774;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 14X40MM;NOVO AKT;684;7928.93;
1200000776;ZAVRTANJ SA 6-UG.GLAV.BEZ MATICE 14X50MM;NOVO AKT;250;1808;
